SmallCocaColaCanM3,meterCubed,The volume of a small Coca-Cola can,times the volume of a small Coca-Cola can,small Coca-Cola cans,small Coca-Cola cans,small Coca-Cola can,0.00022
AmericanFootballVolumeM3,meterCubed,The volume of a Football,times the volume of a Football,Footballs,Footballs,Football,0.00450
VolumeOfAKFCBucketM3,meterCubed,The volume of a KFC Bucket,times the volume of a KFC Bucket,KFC Buckets,KFC Buckets,KFC Bucket,0.00503
VolumeOfAmazonBoxM3,meterCubed,The volume of a 1A9 (B48) Amazon Box,times the volume of a 1A9 (B48) Amazon Box,B48 Amazon Boxes,B48 Amazon Boxes,B48 Amazon Box,0.02724
TrunkSpaceOfABMW2021X1SUVM3,meterCubed,The trunk space of a BMW 2021 X1 SUV,times the trunk space of a BMW 2021 X1 SUV,BMW 2021 X1 SUV Trunks,BMW 2021 X1 SUV Trunks,BMW 2021 X1 SUV Trunk,1.21479
HabitableSpaceInsideOrionCapsuleM3,meterCubed,The habitable space inside the Orion Capsule,times the habitable space inside the Orion Capsule,Orion Capsules' worth of Habitable Space,Orion Capsules' worth of Habitable Space,Orion Capsules' worth of Habitable Space,9.34456
AmericanSchoolBusM3,meterCubed,The volume of a school bus,times the volume of a school bus,School buses,School buses,School bus,47.96874
VolumeOfATridentIID5SubmarineLaunchedBallisticMissileM3,meterCubed,The volume of a Trident II D-5 Submarine-Launched Ballistic Missile,times the volume of a Trident II D-5 Submarine-Launched Ballistic Missile,Trident II D-5 Submarine-Launched Ballistic Missiles,Trident II D-5 Submarine-Launched Ballistic Missiles,Trident II D-5 Submarine-Launched Ballistic Missile,187700000
LockheedC5GalaxyPayloadVolumeM3,meterCubed,The payload capacity of a Lockheed C-5 Galaxy Military Transport Aircraft,times the payload capacity of a Lockheed C-5 Galaxy Military Transport Aircraft,Lockheed C-5 Galaxy Military Transport Aircrafts,Lockheed C-5 Galaxy Military Transport Aircrafts,Lockheed C-5 Galaxy Military Transport Aircraft,959941100
VolumeOfAnOhioClassSubmarineM3,meterCubed,The volume of an Ohio Class Submarine,times the volume of an Ohio Class Submarine,Ohio Class Submarines,Ohio Class Submarines,Ohio Class Submarine,19093578000
VolumeOfNASAVehicleAssemblyBuildingM3,meterCubed,The volume of the NASA Vehicle Assembly Building,times the volume of the NASA Vehicle Assembly Building,NASA Vehicle Assembly Buildings,NASA Vehicle Assembly Buildings,NASA Vehicle Assembly Building,3660000000000
TotalVolumeOfAllAmericansM3,meterCubed,The total combined volume of every American,times the total combined volume of every American,times the total combined volume of every American,total combined volumes of every American,total combined volume of every American,22524701191100
TotalVolumeOfVenezuelanOilReservesM3,meterCubed,The total combined volume of Venezuelan oil reserves,times the total combined volume of Venezuelan Oil Reserves,times the total combined volume of Venezuelan Oil Reserves,total volumes of Venezuelan Oil Reserves,total volume of Venezuelan Oil Reserves,48174422261543400
TotalVolumeOfOilReservesInTheMiddleEastM3,meterCubed,The total combined volume of oil reserves in the Middle East,times the total combined volume of oil reserves in the Middle East,times the total combined volume of oil reserves in the Middle East,total volumes of oil reserves in the Middle East,total volume of oil reserves in the Middle East,131180417045093000
TotalVolumeOfWaterInAlaskaGlaciersM3,meterCubed,The total combined volume of water in Alaska's glaciers,times the total combined volume of water in Alaska's glaciers,times the total combined volume of water in Alaska's glaciers,total volumes of water in Alaska's glaciers,total volume of water in Alaska's glaciers,16787520000000000000
ThrustOfNASAFEEPIonThruster,newton,The thrust of NASA's FEEP ion Thruster,times the thrust of NASA's FEEP ion Thruster,FEEP Ion Thrusters from NASA,NASA FEEP Ion Thrusters,NASA FEEP Ion Thruster,0.002
ThrustOfNASANSTARIonEngine,newton,The thrust of NASA's NSTAR ion engine,times the thrust of NASA's NSTAR ion engine,NSTAR ion engines from NASA,NASA NSTAR ion engines,NASA NSTAR ion engines,0.02
WeightOfABaldEagleFeatherOnTheMoon,newton,The weight of a Bald Eagle feather on the Moon,times the weigth of a Bald Eagle feather on the Moon,Bald Eagle feathers on the moon,Bald Eagle feathers on the moon,Bald Eagle feather on the moon,0.1028981852
BiteForceOfAnAmericanCockroach,newton,The bite force of an American cockroach,times the bite force of an American cockroach,times the bite force of an American cockroach,American cockroach bites,American cockroach bite,0.735
ForceNecessaryToBreakAniPhoneAir,newton,The force necessary to break an iPhone Air,times the force necessary to break an iPhone Air,times the force necessary to break an iPhone Air,force necessary to break an iPhone Air,force necessary to break an iPhone Air,956.368
ForceOfATackleInAmericanFootball,newton,The force of a tackle in football,times the force of a tackle in football,Football tackles,Football tackles,Football tackle,7117.155
BiteForceOfAnAmericanAlligator,newton,The bite force of an American Alligator,times the bite force of an American Alligator,times the bite force of an American Alligator,American Alligator bites,American Alligator bite,13172
RecoilForceOfATenWarthogMinigun,newton,The recoil force of an A-10 Warthog's minigun,times the recoil force of an A-10 Warthog's minigun,A-10 Warthog miniguns' recoil force,A-10 Warthog miniguns' recoil force,A-10 Warthog minigun's recoil force,40000
ThrustGeneratedByGEAirlineEngine,newton,The thrust generatored by a GE90-115B airline engine,times the thrust generatored by a GE90-115B airline engine,GE90-115B airline engines,GE90-115B airline engines,GE90-115B airline engine,511545.484
ThrustOfSpaceShuttleMainEngines,newton,The thrust of the Space Shuttle Main Engines,times the thrust of the Space Shuttle Main Engines,Space Shuttle Main Engines,Space Shuttle Main Engines,Space Shuttle Main Engine,1668083.1
